office,id,ad,ed,candidate,party,votes
Surrogate Queens,26824,23,1,Cassandra A. Johnson,Democratic,214
Surrogate Queens,26824,23,1,Stephen H. Weiner,Republican,826
Surrogate Queens,26824,23,1,Stephen H. Weiner,Conservative/Common Sense,154
Surrogate Queens,26824,23,1,WRITE-IN,,0
Surrogate Queens,26824,23,2,Cassandra A. Johnson,Democratic,220
Surrogate Queens,26824,23,2,Stephen H. Weiner,Republican,763
Surrogate Queens,26824,23,2,Stephen H. Weiner,Conservative/Common Sense,126
Surrogate Queens,26824,23,2,WRITE-IN,,1
Surrogate Queens,26824,23,3,Cassandra A. Johnson,Democratic,81
Surrogate Queens,26824,23,3,Stephen H. Weiner,Republican,267
Surrogate Queens,26824,23,3,Stephen H. Weiner,Conservative/Common Sense,37
Surrogate Queens,26824,23,3,WRITE-IN,,1
Surrogate Queens,26824,23,4,Cassandra A. Johnson,Democratic,305
Surrogate Queens,26824,23,4,Stephen H. Weiner,Republican,774
Surrogate Queens,26824,23,4,Stephen H. Weiner,Conservative/Common Sense,66
Surrogate Queens,26824,23,4,WRITE-IN,,1
Surrogate Queens,26824,23,5,Cassandra A. Johnson,Democratic,258
Surrogate Queens,26824,23,5,Stephen H. Weiner,Republican,830
Surrogate Queens,26824,23,5,Stephen H. Weiner,Conservative/Common Sense,63
Surrogate Queens,26824,23,5,WRITE-IN,,1
Surrogate Queens,26824,23,6,Cassandra A. Johnson,Democratic,288
Surrogate Queens,26824,23,6,Stephen H. Weiner,Republican,756
Surrogate Queens,26824,23,6,Stephen H. Weiner,Conservative/Common Sense,77
Surrogate Queens,26824,23,6,WRITE-IN,,2
Surrogate Queens,26824,23,7,Cassandra A. Johnson,Democratic,346
Surrogate Queens,26824,23,7,Stephen H. Weiner,Republican,782
Surrogate Queens,26824,23,7,Stephen H. Weiner,Conservative/Common Sense,66
Surrogate Queens,26824,23,7,WRITE-IN,,2
Surrogate Queens,26824,23,8,Cassandra A. Johnson,Democratic,385
Surrogate Queens,26824,23,8,Stephen H. Weiner,Republican,483
Surrogate Queens,26824,23,8,Stephen H. Weiner,Conservative/Common Sense,54
Surrogate Queens,26824,23,8,WRITE-IN,,0
Surrogate Queens,26824,23,9,Cassandra A. Johnson,Democratic,304
Surrogate Queens,26824,23,9,Stephen H. Weiner,Republican,241
Surrogate Queens,26824,23,9,Stephen H. Weiner,Conservative/Common Sense,39
Surrogate Queens,26824,23,9,WRITE-IN,,3
Surrogate Queens,26824,23,10,Cassandra A. Johnson,Democratic,383
Surrogate Queens,26824,23,10,Stephen H. Weiner,Republican,622
Surrogate Queens,26824,23,10,Stephen H. Weiner,Conservative/Common Sense,66
Surrogate Queens,26824,23,10,WRITE-IN,,0
Surrogate Queens,26824,23,11,Cassandra A. Johnson,Democratic,562
Surrogate Queens,26824,23,11,Stephen H. Weiner,Republican,206
Surrogate Queens,26824,23,11,Stephen H. Weiner,Conservative/Common Sense,25
Surrogate Queens,26824,23,11,WRITE-IN,,1
Surrogate Queens,26824,23,12,Cassandra A. Johnson,Democratic,172
Surrogate Queens,26824,23,12,Stephen H. Weiner,Republican,81
Surrogate Queens,26824,23,12,Stephen H. Weiner,Conservative/Common Sense,9
Surrogate Queens,26824,23,12,WRITE-IN,,1
Surrogate Queens,26824,23,13,Cassandra A. Johnson,Democratic,466
Surrogate Queens,26824,23,13,Stephen H. Weiner,Republican,219
Surrogate Queens,26824,23,13,Stephen H. Weiner,Conservative/Common Sense,26
Surrogate Queens,26824,23,13,WRITE-IN,,3
Surrogate Queens,26824,23,14,Cassandra A. Johnson,Democratic,294
Surrogate Queens,26824,23,14,Stephen H. Weiner,Republican,306
Surrogate Queens,26824,23,14,Stephen H. Weiner,Conservative/Common Sense,23
Surrogate Queens,26824,23,14,WRITE-IN,,0
Surrogate Queens,26824,23,15,Cassandra A. Johnson,Democratic,386
Surrogate Queens,26824,23,15,Stephen H. Weiner,Republican,354
Surrogate Queens,26824,23,15,Stephen H. Weiner,Conservative/Common Sense,33
Surrogate Queens,26824,23,15,WRITE-IN,,2
Surrogate Queens,26824,23,16,Cassandra A. Johnson,Democratic,235
Surrogate Queens,26824,23,16,Stephen H. Weiner,Republican,183
Surrogate Queens,26824,23,16,Stephen H. Weiner,Conservative/Common Sense,17
Surrogate Queens,26824,23,16,WRITE-IN,,0
Surrogate Queens,26824,23,17,Cassandra A. Johnson,Democratic,158
Surrogate Queens,26824,23,17,Stephen H. Weiner,Republican,404
Surrogate Queens,26824,23,17,Stephen H. Weiner,Conservative/Common Sense,34
Surrogate Queens,26824,23,17,WRITE-IN,,0
Surrogate Queens,26824,23,18,Cassandra A. Johnson,Democratic,523
Surrogate Queens,26824,23,18,Stephen H. Weiner,Republican,200
Surrogate Queens,26824,23,18,Stephen H. Weiner,Conservative/Common Sense,24
Surrogate Queens,26824,23,18,WRITE-IN,,0
Surrogate Queens,26824,23,19,Cassandra A. Johnson,Democratic,94
Surrogate Queens,26824,23,19,Stephen H. Weiner,Republican,12
Surrogate Queens,26824,23,19,Stephen H. Weiner,Conservative/Common Sense,2
Surrogate Queens,26824,23,19,WRITE-IN,,0
Surrogate Queens,26824,23,20,Cassandra A. Johnson,Democratic,751
Surrogate Queens,26824,23,20,Stephen H. Weiner,Republican,93
Surrogate Queens,26824,23,20,Stephen H. Weiner,Conservative/Common Sense,19
Surrogate Queens,26824,23,20,WRITE-IN,,1
Surrogate Queens,26824,23,21,Cassandra A. Johnson,Democratic,555
Surrogate Queens,26824,23,21,Stephen H. Weiner,Republican,148
Surrogate Queens,26824,23,21,Stephen H. Weiner,Conservative/Common Sense,16
Surrogate Queens,26824,23,21,WRITE-IN,,5
Surrogate Queens,26824,23,22,Cassandra A. Johnson,Democratic,252
Surrogate Queens,26824,23,22,Stephen H. Weiner,Republican,24
Surrogate Queens,26824,23,22,Stephen H. Weiner,Conservative/Common Sense,5
Surrogate Queens,26824,23,22,WRITE-IN,,0
Surrogate Queens,26824,23,23,Cassandra A. Johnson,Democratic,129
Surrogate Queens,26824,23,23,Stephen H. Weiner,Republican,122
Surrogate Queens,26824,23,23,Stephen H. Weiner,Conservative/Common Sense,3
Surrogate Queens,26824,23,23,WRITE-IN,,0
Surrogate Queens,26824,23,24,Cassandra A. Johnson,Democratic,245
Surrogate Queens,26824,23,24,Stephen H. Weiner,Republican,41
Surrogate Queens,26824,23,24,Stephen H. Weiner,Conservative/Common Sense,2
Surrogate Queens,26824,23,24,WRITE-IN,,0
Surrogate Queens,26824,23,25,Cassandra A. Johnson,Democratic,436
Surrogate Queens,26824,23,25,Stephen H. Weiner,Republican,244
Surrogate Queens,26824,23,25,Stephen H. Weiner,Conservative/Common Sense,24
Surrogate Queens,26824,23,25,WRITE-IN,,0
Surrogate Queens,26824,23,26,Cassandra A. Johnson,Democratic,254
Surrogate Queens,26824,23,26,Stephen H. Weiner,Republican,153
Surrogate Queens,26824,23,26,Stephen H. Weiner,Conservative/Common Sense,6
Surrogate Queens,26824,23,26,WRITE-IN,,1
Surrogate Queens,26824,23,27,Cassandra A. Johnson,Democratic,302
Surrogate Queens,26824,23,27,Stephen H. Weiner,Republican,681
Surrogate Queens,26824,23,27,Stephen H. Weiner,Conservative/Common Sense,43
Surrogate Queens,26824,23,27,WRITE-IN,,5
Surrogate Queens,26824,23,28,Cassandra A. Johnson,Democratic,437
Surrogate Queens,26824,23,28,Stephen H. Weiner,Republican,169
Surrogate Queens,26824,23,28,Stephen H. Weiner,Conservative/Common Sense,17
Surrogate Queens,26824,23,28,WRITE-IN,,1
Surrogate Queens,26824,23,29,Cassandra A. Johnson,Democratic,255
Surrogate Queens,26824,23,29,Stephen H. Weiner,Republican,407
Surrogate Queens,26824,23,29,Stephen H. Weiner,Conservative/Common Sense,34
Surrogate Queens,26824,23,29,WRITE-IN,,1
Surrogate Queens,26824,23,30,Cassandra A. Johnson,Democratic,251
Surrogate Queens,26824,23,30,Stephen H. Weiner,Republican,429
Surrogate Queens,26824,23,30,Stephen H. Weiner,Conservative/Common Sense,30
Surrogate Queens,26824,23,30,WRITE-IN,,0
Surrogate Queens,26824,23,31,Cassandra A. Johnson,Democratic,475
Surrogate Queens,26824,23,31,Stephen H. Weiner,Republican,305
Surrogate Queens,26824,23,31,Stephen H. Weiner,Conservative/Common Sense,27
Surrogate Queens,26824,23,31,WRITE-IN,,0
Surrogate Queens,26824,23,32,Cassandra A. Johnson,Democratic,482
Surrogate Queens,26824,23,32,Stephen H. Weiner,Republican,447
Surrogate Queens,26824,23,32,Stephen H. Weiner,Conservative/Common Sense,36
Surrogate Queens,26824,23,32,WRITE-IN,,3
Surrogate Queens,26824,23,33,Cassandra A. Johnson,Democratic,202
Surrogate Queens,26824,23,33,Stephen H. Weiner,Republican,866
Surrogate Queens,26824,23,33,Stephen H. Weiner,Conservative/Common Sense,56
Surrogate Queens,26824,23,33,WRITE-IN,,1
Surrogate Queens,26824,23,34,Cassandra A. Johnson,Democratic,222
Surrogate Queens,26824,23,34,Stephen H. Weiner,Republican,704
Surrogate Queens,26824,23,34,Stephen H. Weiner,Conservative/Common Sense,53
Surrogate Queens,26824,23,34,WRITE-IN,,3
Surrogate Queens,26824,23,35,Cassandra A. Johnson,Democratic,156
Surrogate Queens,26824,23,35,Stephen H. Weiner,Republican,745
Surrogate Queens,26824,23,35,Stephen H. Weiner,Conservative/Common Sense,41
Surrogate Queens,26824,23,35,WRITE-IN,,1
Surrogate Queens,26824,23,36,Cassandra A. Johnson,Democratic,174
Surrogate Queens,26824,23,36,Stephen H. Weiner,Republican,681
Surrogate Queens,26824,23,36,Stephen H. Weiner,Conservative/Common Sense,54
Surrogate Queens,26824,23,36,WRITE-IN,,0
Surrogate Queens,26824,23,37,Cassandra A. Johnson,Democratic,271
Surrogate Queens,26824,23,37,Stephen H. Weiner,Republican,568
Surrogate Queens,26824,23,37,Stephen H. Weiner,Conservative/Common Sense,41
Surrogate Queens,26824,23,37,WRITE-IN,,2
Surrogate Queens,26824,23,38,Cassandra A. Johnson,Democratic,201
Surrogate Queens,26824,23,38,Stephen H. Weiner,Republican,541
Surrogate Queens,26824,23,38,Stephen H. Weiner,Conservative/Common Sense,42
Surrogate Queens,26824,23,38,WRITE-IN,,1
Surrogate Queens,26824,23,39,Cassandra A. Johnson,Democratic,51
Surrogate Queens,26824,23,39,Stephen H. Weiner,Republican,23
Surrogate Queens,26824,23,39,Stephen H. Weiner,Conservative/Common Sense,3
Surrogate Queens,26824,23,39,WRITE-IN,,0
Surrogate Queens,26824,23,40,Cassandra A. Johnson,Democratic,296
Surrogate Queens,26824,23,40,Stephen H. Weiner,Republican,211
Surrogate Queens,26824,23,40,Stephen H. Weiner,Conservative/Common Sense,22
Surrogate Queens,26824,23,40,WRITE-IN,,1
Surrogate Queens,26824,23,41,Cassandra A. Johnson,Democratic,319
Surrogate Queens,26824,23,41,Stephen H. Weiner,Republican,319
Surrogate Queens,26824,23,41,Stephen H. Weiner,Conservative/Common Sense,24
Surrogate Queens,26824,23,41,WRITE-IN,,1
Surrogate Queens,26824,23,42,Cassandra A. Johnson,Democratic,251
Surrogate Queens,26824,23,42,Stephen H. Weiner,Republican,231
Surrogate Queens,26824,23,42,Stephen H. Weiner,Conservative/Common Sense,13
Surrogate Queens,26824,23,42,WRITE-IN,,1
Surrogate Queens,26824,23,43,Cassandra A. Johnson,Democratic,7
Surrogate Queens,26824,23,43,Stephen H. Weiner,Republican,2
Surrogate Queens,26824,23,43,Stephen H. Weiner,Conservative/Common Sense,0
Surrogate Queens,26824,23,43,WRITE-IN,,0
Surrogate Queens,26824,23,44,Cassandra A. Johnson,Democratic,531
Surrogate Queens,26824,23,44,Stephen H. Weiner,Republican,520
Surrogate Queens,26824,23,44,Stephen H. Weiner,Conservative/Common Sense,47
Surrogate Queens,26824,23,44,WRITE-IN,,0
Surrogate Queens,26824,23,45,Cassandra A. Johnson,Democratic,306
Surrogate Queens,26824,23,45,Stephen H. Weiner,Republican,341
Surrogate Queens,26824,23,45,Stephen H. Weiner,Conservative/Common Sense,27
Surrogate Queens,26824,23,45,WRITE-IN,,0
Surrogate Queens,26824,23,46,Cassandra A. Johnson,Democratic,494
Surrogate Queens,26824,23,46,Stephen H. Weiner,Republican,377
