office,id,ad,ed,candidate,party,votes
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,1,YES,,282
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,1,NO,,928
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,2,YES,,277
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,2,NO,,864
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,3,YES,,101
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,3,NO,,298
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,4,YES,,379
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,4,NO,,745
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,5,YES,,329
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,5,NO,,842
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,6,YES,,357
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,6,NO,,781
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,7,YES,,428
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,7,NO,,800
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,8,YES,,437
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,8,NO,,495
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,9,YES,,349
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,9,NO,,249
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,10,YES,,478
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,10,NO,,610
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,11,YES,,579
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,11,NO,,197
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,12,YES,,187
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,12,NO,,71
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,13,YES,,501
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,13,NO,,213
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,14,YES,,390
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,14,NO,,227
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,15,YES,,508
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,15,NO,,252
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,16,YES,,297
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,16,NO,,121
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,17,YES,,195
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,17,NO,,425
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,18,YES,,585
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,18,NO,,167
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,19,YES,,91
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,19,NO,,8
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,20,YES,,719
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,20,NO,,94
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,21,YES,,469
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,21,NO,,123
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,22,YES,,243
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,22,NO,,28
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,23,YES,,48
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,23,NO,,16
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,24,YES,,124
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,24,NO,,14
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,25,YES,,414
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,25,NO,,276
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,26,YES,,253
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,26,NO,,116
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,27,YES,,175
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,27,NO,,859
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,28,YES,,386
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,28,NO,,197
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,29,YES,,176
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,29,NO,,512
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,30,YES,,188
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,30,NO,,500
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,31,YES,,449
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,31,NO,,336
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,32,YES,,445
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,32,NO,,476
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,33,YES,,184
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,33,NO,,434
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,34,YES,,176
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,34,NO,,361
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,35,YES,,138
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,35,NO,,412
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,36,YES,,291
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,36,NO,,610
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,37,YES,,407
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,37,NO,,461
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,38,YES,,330
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,38,NO,,441
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,39,YES,,29
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,39,NO,,1
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,40,YES,,362
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,40,NO,,123
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,41,YES,,399
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,41,NO,,241
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,42,YES,,340
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,42,NO,,144
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,43,YES,,10
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,43,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,44,YES,,620
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,44,NO,,448
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,45,YES,,361
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,45,NO,,321
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,46,YES,,577
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,46,NO,,268
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,47,YES,,439
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,47,NO,,248
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,48,YES,,434
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,48,NO,,305
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,49,YES,,557
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,49,NO,,307
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,50,YES,,194
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,50,NO,,104
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,51,YES,,74
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,51,NO,,29
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,52,YES,,86
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,52,NO,,23
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,53,YES,,149
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,53,NO,,49
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,54,YES,,103
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,54,NO,,17
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,55,YES,,78
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,55,NO,,28
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,56,YES,,87
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,56,NO,,34
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,57,YES,,150
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,57,NO,,48
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,58,YES,,162
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,58,NO,,319
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,59,YES,,81
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,59,NO,,167
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,60,YES,,358
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,60,NO,,249
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,61,YES,,12
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,61,NO,,4
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,62,YES,,128
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,62,NO,,59
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,63,YES,,209
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,63,NO,,51
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,64,YES,,151
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,64,NO,,33
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,65,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,65,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,66,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,66,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,67,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,67,NO,,1
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,68,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,68,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,69,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,69,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,70,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,70,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,71,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,71,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,72,YES,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,23,72,NO,,0
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,24,1,YES,,161
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,24,1,NO,,40
"Proposal Number 1, an Amendment: Amendment to Protect Against Unequal Treatment**",26826,24,2,YES,,239
