office,id,ad,ed,candidate,party,votes
President/Vice President**,26825,23,1,Kamala D. Harris Tim Walz,Democratic,257
President/Vice President**,26825,23,1,Donald J. Trump JD Vance,Republican,826
President/Vice President**,26825,23,1,Donald J. Trump JD Vance,Conservative,141
President/Vice President**,26825,23,1,Kamala D. Harris Tim Walz,Working Families,12
President/Vice President**,26825,23,1,WRITE-IN,,12
President/Vice President**,26825,23,2,Kamala D. Harris Tim Walz,Democratic,240
President/Vice President**,26825,23,2,Donald J. Trump JD Vance,Republican,792
President/Vice President**,26825,23,2,Donald J. Trump JD Vance,Conservative,115
President/Vice President**,26825,23,2,Kamala D. Harris Tim Walz,Working Families,19
President/Vice President**,26825,23,2,WRITE-IN,,11
President/Vice President**,26825,23,3,Kamala D. Harris Tim Walz,Democratic,84
President/Vice President**,26825,23,3,Donald J. Trump JD Vance,Republican,285
President/Vice President**,26825,23,3,Donald J. Trump JD Vance,Conservative,33
President/Vice President**,26825,23,3,Kamala D. Harris Tim Walz,Working Families,6
President/Vice President**,26825,23,3,WRITE-IN,,3
President/Vice President**,26825,23,4,Kamala D. Harris Tim Walz,Democratic,337
President/Vice President**,26825,23,4,Donald J. Trump JD Vance,Republican,771
President/Vice President**,26825,23,4,Donald J. Trump JD Vance,Conservative,55
President/Vice President**,26825,23,4,Kamala D. Harris Tim Walz,Working Families,15
President/Vice President**,26825,23,4,WRITE-IN,,13
President/Vice President**,26825,23,5,Kamala D. Harris Tim Walz,Democratic,290
President/Vice President**,26825,23,5,Donald J. Trump JD Vance,Republican,831
President/Vice President**,26825,23,5,Donald J. Trump JD Vance,Conservative,56
President/Vice President**,26825,23,5,Kamala D. Harris Tim Walz,Working Families,20
President/Vice President**,26825,23,5,WRITE-IN,,10
President/Vice President**,26825,23,6,Kamala D. Harris Tim Walz,Democratic,328
President/Vice President**,26825,23,6,Donald J. Trump JD Vance,Republican,757
President/Vice President**,26825,23,6,Donald J. Trump JD Vance,Conservative,57
President/Vice President**,26825,23,6,Kamala D. Harris Tim Walz,Working Families,19
President/Vice President**,26825,23,6,WRITE-IN,,13
President/Vice President**,26825,23,7,Kamala D. Harris Tim Walz,Democratic,389
President/Vice President**,26825,23,7,Donald J. Trump JD Vance,Republican,785
President/Vice President**,26825,23,7,Donald J. Trump JD Vance,Conservative,61
President/Vice President**,26825,23,7,Kamala D. Harris Tim Walz,Working Families,17
President/Vice President**,26825,23,7,WRITE-IN,,17
President/Vice President**,26825,23,8,Kamala D. Harris Tim Walz,Democratic,377
President/Vice President**,26825,23,8,Donald J. Trump JD Vance,Republican,505
President/Vice President**,26825,23,8,Donald J. Trump JD Vance,Conservative,48
President/Vice President**,26825,23,8,Kamala D. Harris Tim Walz,Working Families,38
President/Vice President**,26825,23,8,WRITE-IN,,15
President/Vice President**,26825,23,9,Kamala D. Harris Tim Walz,Democratic,289
President/Vice President**,26825,23,9,Donald J. Trump JD Vance,Republican,267
President/Vice President**,26825,23,9,Donald J. Trump JD Vance,Conservative,26
President/Vice President**,26825,23,9,Kamala D. Harris Tim Walz,Working Families,37
President/Vice President**,26825,23,9,WRITE-IN,,9
President/Vice President**,26825,23,10,Kamala D. Harris Tim Walz,Democratic,194
President/Vice President**,26825,23,10,Donald J. Trump JD Vance,Republican,289
President/Vice President**,26825,23,10,Donald J. Trump JD Vance,Conservative,33
President/Vice President**,26825,23,10,Kamala D. Harris Tim Walz,Working Families,11
President/Vice President**,26825,23,10,WRITE-IN,,2
President/Vice President**,26825,23,11,Kamala D. Harris Tim Walz,Democratic,295
President/Vice President**,26825,23,11,Donald J. Trump JD Vance,Republican,101
President/Vice President**,26825,23,11,Donald J. Trump JD Vance,Conservative,9
President/Vice President**,26825,23,11,Kamala D. Harris Tim Walz,Working Families,16
President/Vice President**,26825,23,11,WRITE-IN,,3
President/Vice President**,26825,23,12,Kamala D. Harris Tim Walz,Democratic,155
President/Vice President**,26825,23,12,Donald J. Trump JD Vance,Republican,82
President/Vice President**,26825,23,12,Donald J. Trump JD Vance,Conservative,6
President/Vice President**,26825,23,12,Kamala D. Harris Tim Walz,Working Families,22
President/Vice President**,26825,23,12,WRITE-IN,,8
President/Vice President**,26825,23,13,Kamala D. Harris Tim Walz,Democratic,448
President/Vice President**,26825,23,13,Donald J. Trump JD Vance,Republican,232
President/Vice President**,26825,23,13,Donald J. Trump JD Vance,Conservative,16
President/Vice President**,26825,23,13,Kamala D. Harris Tim Walz,Working Families,53
President/Vice President**,26825,23,13,WRITE-IN,,16
President/Vice President**,26825,23,14,Kamala D. Harris Tim Walz,Democratic,296
President/Vice President**,26825,23,14,Donald J. Trump JD Vance,Republican,340
President/Vice President**,26825,23,14,Donald J. Trump JD Vance,Conservative,26
President/Vice President**,26825,23,14,Kamala D. Harris Tim Walz,Working Families,10
President/Vice President**,26825,23,14,WRITE-IN,,5
President/Vice President**,26825,23,15,Kamala D. Harris Tim Walz,Democratic,391
President/Vice President**,26825,23,15,Donald J. Trump JD Vance,Republican,397
President/Vice President**,26825,23,15,Donald J. Trump JD Vance,Conservative,29
President/Vice President**,26825,23,15,Kamala D. Harris Tim Walz,Working Families,12
President/Vice President**,26825,23,15,WRITE-IN,,7
President/Vice President**,26825,23,16,Kamala D. Harris Tim Walz,Democratic,244
President/Vice President**,26825,23,16,Donald J. Trump JD Vance,Republican,209
President/Vice President**,26825,23,16,Donald J. Trump JD Vance,Conservative,12
